date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:53	16289/16289	---MCZ	200	added ('OK')	text/css	date:Wed,%2012%20Oct%202022%2003:42:33%20GMT	http://bizweb.dktcdn.net/100/321/299/themes/670850/assets/account_order_style.scss.css?1664275285895	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/themes/670850/assets/account_order_style.scssf96c.css	(from https://ant-construction.mysapo.net/account/login)
22:07:53	154378/154378	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:13%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9608591310878.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9608591310878a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:53	83579/83579	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:24%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/maykhoan.jpg?v=1531752175557	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/maykhoanf7bd.jpg	(from https://ant-construction.mysapo.net/may-khoan-professional-bosch-gbm-320-320w-xanh-duong)
22:07:54	43/43	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2006%20Sep%202022%2003:58:19%20GMT	http://bizweb.dktcdn.net/assets/themes_support/bizweb-api.js	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/assets/themes_support/bizweb-api.js	(from https://ant-construction.mysapo.net/account/login)
22:07:54	1518/1518	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Jan%202022%2023:25:55%20GMT	http://bizweb.dktcdn.net/assets/themes_support/common.js	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/assets/themes_support/common.js	(from https://ant-construction.mysapo.net/account/login)
22:07:54	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.f0.delayed	(from https://ant-construction.mysapo.net/account/login)
22:07:54	848/848	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2005%20Oct%202022%2003:50:55%20GMT	http://bizweb.dktcdn.net/assets/themes_support/customer.js	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/assets/themes_support/customer.js	(from https://ant-construction.mysapo.net/account/login)
22:07:54	40252/40252	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:34%20GMT	https://bizweb.dktcdn.net/100/321/299/products/maykhoan.jpg?v=1531752175557	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/maykhoanf7bd.jpg	(from https://ant-construction.mysapo.net/may-khoan-professional-bosch-gbm-320-320w-xanh-duong)
22:07:55	61814/61814	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Nov%202022%2015:08:38%20GMT	https://ant-construction.mysapo.net/account/account/login	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/account/account/login.f1.delayed	(from https://ant-construction.mysapo.net/account/login)
22:07:55	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.f2.delayed	(from https://ant-construction.mysapo.net/account/register)
22:07:57	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.f6.delayed	(from https://ant-construction.mysapo.net/may-khoan-bua-bosch-gbh-2-24-re-790w)
22:08:02	33718/33718	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2007:29:24%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/9533861134366.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/9533861134366074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:03	42141/42141	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:40%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9609814474782.jpg?v=1531752174950	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9609814474782f229.jpg	(from https://ant-construction.mysapo.net/may-khoan-bua-bosch-gbh-2-24-re-790w)
22:08:06	90881/90881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:39%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/9609814474782.jpg?v=1531752174950	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/9609814474782f229.jpg	(from https://ant-construction.mysapo.net/may-khoan-bua-bosch-gbh-2-24-re-790w)
22:08:10	48897/48897	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2007:29:25%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/9536359890974.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/9536359890974074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:10	92521/92521	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:39%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9609814474782.jpg?v=1531752174950	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9609814474782f229.jpg	(from https://ant-construction.mysapo.net/may-khoan-bua-bosch-gbh-2-24-re-790w)
22:08:16	81956/81956	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:48%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/9595981627422.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/9595981627422074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:18	49521/49521	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Oct%202022%2017:10:38%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9533861134366.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9533861134366074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:22	35537/35537	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jul%202022%2005:48:19%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9595981627422.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9595981627422074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:23	67026/67026	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:56%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9536359890974.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9536359890974074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:23	22999/22999	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:02%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9533861134366.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9533861134366074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:23	118119/118119	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:50%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9533861134366.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9533861134366074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:27	15940/15940	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:07%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9595981627422.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9595981627422074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:27	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.104.delayed	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:29	37636/37636	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:07%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9536359890974.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9536359890974074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:36	77292/77292	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Oct%202022%2022:17:01%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9595981627422.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9595981627422074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:44	106758/106758	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:11%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/95338611343664ae837653dca4be0b.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/95338611343664ae837653dca4be0be07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
22:08:48	169782/169782	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:06%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9536359890974.jpg?v=1531752174247	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9536359890974074e.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch-gsb-180-li)
22:08:49	81956/81956	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:09:19%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/95959816274226131df64d6e0456ca.jpg?v=1531752173503	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/95959816274226131df64d6e0456cae07f.jpg	(from https://ant-construction.mysapo.net/may-khoan-van-vit-dung-pin-bosch)
